id,kind,name,lat,lng,alias_count
geonames:11010212,ward,常盤台,35.76222,139.68689,2
geonames:11010373,city,野塩,35.77731,139.50328,2
geonames:11012851,city,みよし台,35.83318,139.54437,2
geonames:11014442,city,古谷本郷,35.90527,139.54034,2
geonames:11028127,city,どうじょう,35.85612,139.61314,2
geonames:11029762,city,ぶぞう,35.84083,139.6711,2
geonames:11059676,city,すぎた,35.37609,139.61713,2
geonames:11071717,ward,江戸川区,35.69225,139.87308,2
geonames:11072360,city,西粟倉村,35.17942,134.35043,2
geonames:11079431,city,もとな,35.14834,139.83581,2
geonames:11081570,city,榎町,35.4304,139.61363,2
geonames:11081578,city,井土ヶ谷上町,35.43103,139.59923,2
geonames:11081664,city,みなとみらい,35.45958,139.6303,2
geonames:11082924,city,しんこやす,35.4904,139.65501,2
geonames:11103179,city,神河町,35.07553,134.74028,2
geonames:11127679,city,恵庭,42.89357,141.576,2
geonames:11133293,city,ほんごう,35.41796,140.35283,2
geonames:11133426,city,うしごめ,35.46437,140.39178,2
geonames:11134304,city,かわすがや,35.36559,140.34305,2
geonames:11140308,city,ながどみ,35.42933,140.23104,2
geonames:11147658,city,島田,32.75684,130.79043,2
geonames:11149616,city,なかまつ,32.83523,131.04527,2
geonames:11151271,city,かわはら,32.80667,130.89747,2
geonames:11154442,city,田上町,37.71133,139.07215,2
geonames:11172649,city,おきの,32.87009,130.7917,2
geonames:11193762,city,わかす,32.60348,130.64336,2
geonames:11205268,city,Tsurui,43.24967,144.29645,1
geonames:11205269,city,南アルプス,35.616,138.46344,2
geonames:11209896,city,江東区,32.77856,130.74537,2
geonames:11240939,city,うえじま,32.74072,130.74717,2
geonames:11241005,city,さまた,32.62114,130.82129,2
geonames:11241735,city,やまだ,32.69678,130.96469,2
geonames:11243207,city,産山村,32.99961,131.23941,2
geonames:11243358,city,あかばば,33.09969,131.07385,2
geonames:11274040,city,あらお,32.97888,130.44572,2
geonames:11335421,city,ながおだ,33.00048,130.60313,2
geonames:11350714,city,御代田,36.33656,138.51288,2
geonames:11397285,city,うきは,33.35634,130.74966,2
geonames:11397286,city,長和町,36.28358,138.24783,2
geonames:11468270,city,伊賀市,34.75797,136.13468,2
geonames:11468427,city,紀北町,34.21052,136.33475,2
geonames:11468429,city,桑名市,35.05192,136.66958,2
geonames:11468431,city,松坂市,34.57895,136.53706,2
geonames:11468435,city,南伊勢町,34.34967,136.69945,2
geonames:11523579,ward,Yonedacho Sendo,34.7756,134.82551,1
geonames:11524139,city,北杜市,35.83458,138.39606,2
geonames:11611220,city,ふじみ野,35.86142,139.51532,2
geonames:11611221,city,氷見市,36.84666,136.98355,3
geonames:11611224,city,滝沢,39.8028,141.13466,2
geonames:11611474,city,東温,33.79427,132.89011,2
geonames:11611475,city,野洲,35.10053,136.01778,2
geonames:11611476,city,八女,33.22792,130.64873,2
geonames:11611477,city,大和郡山,34.60658,135.77033,2
geonames:11611478,city,大和,35.47276,139.45101,2
geonames:11611479,city,山梨,35.67152,138.69827,2
